protocol,profile,strategy_name,strategy_type,strategy_group,feasible,failed_constraints,max_drawdown_pass,annualized_volatility_pass,average_effective_number_of_assets_pass,average_turnover_pass,max_drawdown,max_drawdown_limit,annualized_volatility,max_annualized_volatility_limit,average_max_weight,average_effective_number_of_assets,min_effective_assets_limit,average_turnover,max_average_turnover_limit,sharpe,calmar,sortino,annualized_return
bil_cash,moderate,rolling_risk_parity_inverse_vol_12p,benchmark,,False,max_drawdown,False,True,True,True,-0.26999132959592653,-0.15,0.11192283451072436,0.15,0.38111914367297867,3.3505000715776703,2.3,0.06561184759129535,0.1,0.8367550757865162,0.3380800229359376,1.271267206891117,0.09127867490229513
bil_cash,moderate,V4_real_garch_current_cap_0p80,td3,,False,max_drawdown;average_effective_number_of_assets;average_turnover,False,True,False,False,-0.19212227639232726,-0.15,0.09232252023717893,0.15,0.7186073594008724,1.7235638490320135,2.3,0.3461294784952904,0.1,0.6789487281868858,0.31311676997108767,1.0148073918730194,0.06015670662345807
bil_cash,moderate,V8_ewma_garch_vol_current_cap_0p70,td3,,False,max_drawdown;average_effective_number_of_assets;average_turnover,False,True,False,False,-0.18633873424602865,-0.15,0.09220441529547799,0.15,0.6416854714261979,2.0015235185512474,2.3,0.34201653227950185,0.1,0.7481593870288953,0.3587159309500794,1.0685898671856306,0.06684267252712361
bil_cash,moderate,60_40_SPY_TLT,benchmark,,False,max_drawdown;average_effective_number_of_assets,False,True,False,True,-0.24827935301347304,-0.15,0.12496100815108666,0.15,0.5999999999999998,1.9230769230769234,2.3,0.0,0.1,0.3739768167772648,0.160006947172636,0.4736713406648031,0.039726421321683025
bil_cash,moderate,V5_no_volatility_block_cap_0p70,td3,,False,max_drawdown;average_effective_number_of_assets;average_turnover,False,True,False,False,-0.28878449078836355,-0.15,0.10275918216785676,0.15,0.6549660611082608,1.9487941368545303,2.3,0.33456481001436567,0.1,0.5862755863272554,0.19548713297412462,0.7554643637928475,0.05645365215160969
bil_cash,moderate,momentum_winner_12p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.30979426705363733,-0.15,0.3605680539994521,0.15,1.0,1.0,2.3,0.4298245614035088,0.1,0.9426637496448051,1.0370090899804274,1.7642539893303615,0.321259470958446
bil_cash,moderate,Equal_Weight_Risky,benchmark,,False,max_drawdown;annualized_volatility,False,False,True,True,-0.30561361137265186,-0.15,0.1624407599572301,0.15,0.25,4.0,2.3,0.0,0.1,0.8190831900245825,0.41653274316152106,1.2336854179398467,0.1272980758925497
bil_cash,moderate,BuyHold_BTC-USD,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.6430152393197859,-0.15,0.5131067754295661,0.15,1.0,1.0,2.3,0.0,0.1,0.5029295440009841,0.21178708102197757,0.4149466612676246,0.1361823205881858
bil_cash,moderate,BuyHold_TLT,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.39219142907970206,-0.15,0.1512384330258224,0.15,1.0,1.0,2.3,0.0,0.1,-0.5283992618658764,-0.22271626720034457,-0.7781254334686712,-0.08734741111259992
bil_cash,aggressive,BuyHold_GLD,benchmark,,False,average_effective_number_of_assets,True,True,False,True,-0.1734831770796148,-0.25,0.16543200057298252,0.25,1.0,1.0,1.5,0.0,0.2,1.3474054884786069,1.3389979519584156,2.2927257862918013,0.23229361880884336
bil_cash,aggressive,rolling_markowitz_long_only_52p,benchmark,,True,,True,True,True,True,-0.21063075299117573,-0.25,0.22417122321989089,0.25,0.5909031333470443,1.9620232159854076,1.5,0.103835527210852,0.2,1.2195652401357844,1.3373607560626246,2.2639509476591826,0.2816893030703187
bil_cash,aggressive,trend_spy_cash_12p,benchmark,,False,average_effective_number_of_assets,True,True,False,True,-0.15726788360585953,-0.25,0.10751366222888395,0.25,1.0,1.0,1.5,0.17543859649122806,0.2,0.9032336086219155,0.6075481621453481,1.2965089844125814,0.09554781364922849
bil_cash,aggressive,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,td3,,False,average_turnover,True,True,True,False,-0.16619976476523235,-0.25,0.10014368837105105,0.25,0.7279863523074549,1.6952182753647418,1.5,0.29206893752315805,0.2,0.9865013125328427,0.5911440827758333,1.5125425270219923,0.09824800749970253
bil_cash,aggressive,rolling_markowitz_min_variance_52p,benchmark,,True,,True,True,True,True,-0.23085875676873346,-0.25,0.10397243489326992,0.25,0.4779684111712217,2.6479422882322448,1.5,0.03781101332141901,0.2,0.8418310211156397,0.370636746968185,1.3324762995380712,0.08556473861788283
bil_cash,aggressive,defensive_risk_off_12p,benchmark,,False,average_effective_number_of_assets;average_turnover,True,True,False,False,-0.19335862743625032,-0.25,0.14042468132399683,0.25,1.0,1.0,1.5,0.23684210526315788,0.2,0.6999200502562037,0.47746403946483007,0.927601739354536,0.0923217913210872
bil_cash,aggressive,BuyHold_SPY,benchmark,,False,average_effective_number_of_assets,True,True,False,True,-0.22479454312937097,-0.25,0.16826161804606957,0.25,1.0,1.0,1.5,0.0,0.2,0.7795225030534743,0.5518324552358324,1.1241206757090594,0.12404892465869799
bil_cash,aggressive,Equal_Weight,benchmark,,False,max_drawdown,False,True,True,True,-0.2502947673645993,-0.25,0.1300632895424597,0.25,0.2,4.999999999999999,1.5,0.0,0.2,0.8767629381289029,0.4446844850564,1.354985270907359,0.11130219973783828
bil_cash,aggressive,risk_adjusted_momentum_winner_12p_12p,benchmark,,False,average_effective_number_of_assets,True,True,False,True,-0.09033359468595537,-0.25,0.04658992658619624,0.25,1.0,1.0,1.5,0.03508771929824561,0.2,0.3643147207623331,0.1771422293434176,0.4128191554705355,0.016001894347274837
bil_cash,aggressive,V3_real_macro_vintage_clean_no_dxy_cap_0p70,td3,,False,average_turnover,True,True,True,False,-0.18667438378258905,-0.25,0.08859914508206367,0.25,0.6489820179189589,1.9679669826779054,1.5,0.24186329432606518,0.2,0.8117810891720456,0.376772289790757,1.2092382406637714,0.07033373502304463
bil_cash,aggressive,rolling_risk_parity_inverse_vol_12p,benchmark,,False,max_drawdown,False,True,True,True,-0.26999132959592653,-0.25,0.11192283451072436,0.25,0.38111914367297867,3.3505000715776703,1.5,0.06561184759129535,0.2,0.8367550757865162,0.3380800229359376,1.271267206891117,0.09127867490229513
bil_cash,aggressive,V4_real_garch_current_cap_0p80,td3,,False,average_turnover,True,True,True,False,-0.19212227639232726,-0.25,0.09232252023717893,0.25,0.7186073594008724,1.7235638490320135,1.5,0.3461294784952904,0.2,0.6789487281868858,0.31311676997108767,1.0148073918730194,0.06015670662345807
bil_cash,aggressive,V8_ewma_garch_vol_current_cap_0p70,td3,,False,average_turnover,True,True,True,False,-0.18633873424602865,-0.25,0.09220441529547799,0.25,0.6416854714261979,2.0015235185512474,1.5,0.34201653227950185,0.2,0.7481593870288953,0.3587159309500794,1.0685898671856306,0.06684267252712361
bil_cash,aggressive,60_40_SPY_TLT,benchmark,,True,,True,True,True,True,-0.24827935301347304,-0.25,0.12496100815108666,0.25,0.5999999999999998,1.9230769230769234,1.5,0.0,0.2,0.3739768167772648,0.160006947172636,0.4736713406648031,0.039726421321683025
bil_cash,aggressive,V5_no_volatility_block_cap_0p70,td3,,False,max_drawdown;average_turnover,False,True,True,False,-0.28878449078836355,-0.25,0.10275918216785676,0.25,0.6549660611082608,1.9487941368545303,1.5,0.33456481001436567,0.2,0.5862755863272554,0.19548713297412462,0.7554643637928475,0.05645365215160969
bil_cash,aggressive,momentum_winner_12p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.30979426705363733,-0.25,0.3605680539994521,0.25,1.0,1.0,1.5,0.4298245614035088,0.2,0.9426637496448051,1.0370090899804274,1.7642539893303615,0.321259470958446
bil_cash,aggressive,Equal_Weight_Risky,benchmark,,False,max_drawdown,False,True,True,True,-0.30561361137265186,-0.25,0.1624407599572301,0.25,0.25,4.0,1.5,0.0,0.2,0.8190831900245825,0.41653274316152106,1.2336854179398467,0.1272980758925497
bil_cash,aggressive,BuyHold_BTC-USD,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.6430152393197859,-0.25,0.5131067754295661,0.25,1.0,1.0,1.5,0.0,0.2,0.5029295440009841,0.21178708102197757,0.4149466612676246,0.1361823205881858
bil_cash,aggressive,BuyHold_TLT,benchmark,,False,max_drawdown;average_effective_number_of_assets,False,True,False,True,-0.39219142907970206,-0.25,0.1512384330258224,0.25,1.0,1.0,1.5,0.0,0.2,-0.5283992618658764,-0.22271626720034457,-0.7781254334686712,-0.08734741111259992
